"";"chorotype_spp";"richness_spp";"no_overlap";"Ct_max";"Ct_min";"diameter";"max_centrality";"max_betweenness"
"67";"Amazona farinosa, Amazona ochrocephala, Ancistrops strigilatus, Ara chloropterus, Ara macao, Atticora fasciata, Attila cinnamomeus, Automolus infuscatus, Automolus ochrolaemus, Automolus subulatus, Bucco capensis, Campephilus rubricollis, Capito auratus, Cathartes melambrotus, Celeus elegans, Celeus flavus, Celeus grammicus, Celeus occidentalis, Cephalopterus ornatus, Cercomacra cinerascens, Chaetura brachyura, Chamaeza nobilis, Ciccaba huhula, Campylopterus largipennis, Conopias parvus, Corythopis torquatus, Cotinga cayana, Cotinga maynana, Crypturellus cinereus, Crypturellus variegatus, Cyanerpes caeruleus, Cyanocorax violaceus, Cyanoloxia rothschildii, Cymbilaimus lineatus, Cyphorhinus arada, Cyphos macrodactylus, Dacnis flaviventer, Dacnis lineata, Daptrius ater, Dendrocincla merula, Dendrocolaptes certhia, Dichrozona cincta, Euphonia chrysopasta, Euphonia rufiventris, Formicarius colma, Galbula dea, Glaucis hirsutus, Glyphorynchus spirurus, Hafferia fortis, Heliodoxa aurescens, Heliothryx auritus, Hemithraupis flavicollis, Hydropsalis climacocerca, Hylophylax naevius, Ibycter americanus, Iodopleura isabellae, Isleria hauxwelli, Islerothraupis cristata, Jacamerops aureus, Laniocera hypopyrra, Lepidothrix coronata, Lipaugus vociferans, Maschalethraupis surinama, Megascops watsonii, Melanerpes cruentatus, Micrastur gilvicollis, Micrastur mirandollei, Microxenops milleri, Momotus momota, Monasa morphoeus, Myiobius barbatus, Myrmoborus myotherinus, Myrmophylax atrothorax, Myrmothera campanisona, Myrmotherula axillaris, Myrmotherula brachyura, Myrmotherula longipennis, Myrmotherula menetriesii, Myrmotherula multostriata, Nasica longirostris, Neochen jubata, Notharchus tectus, Nyctibius bracteatus, Ochthornis littoralis, Odontophorus gujanensis, Onychorhynchus coronatus, Opisthocomus hoazin, Ornithion inerme, Pachyramphus marginatus, Pachyramphus minor, Pachysylvia hypoxantha, Patagioenas subvinacea, Penelope jacquacu, Pharomachrus pavoninus, Philydor erythrocercum, Philydor pyrrhodes, Piaya melanogaster, Piculus flavigula, Piprites chloris, Hylocharis cyanus, Islerothraupis luctuosa, Myiopagis cinerea, Myiornis ecaudatus, Platyrinchus coronatus, Platyrinchus platyrhynchos, Hypocnemis peruviana, Liosceles thoracicus, Psarocolius viridis, Psarocolius yuracares, Pteroglossus azara, Pygiptila stellaris, Pyrilia barrabandi, Ramphastos cuvieri, Ramphotrigon ruficauda, Rhytipterna simplex, Saltator grossus, Schiffornis turdina, Sclateria naevia, Sclerurus caudacutus, Sclerurus rufigularis, Sporophila bouvronides, Sublegatus obscurior, Pteroglossus humboldti, Ramphocelus nigrogularis, Rhegmatorhina melanosticta, Synallaxis rutilans, Tangara chilensis, Tangara mexicana, Tangara schrankii, Tangara velia, Tangara xanthogastra, Terenotriccus erythrurus, Thamnomanes caesius, Thamnophilus aethiops, Thamnophilus amazonicus, Thamnophilus murinus, Thamnophilus schistaceus, Threnetes leucurus, Tinamus guttatus, Tityra cayana, Todirostrum chrysocrotaphum, Tolmomyias assimilis, Tolmomyias poliocephalus, Tolmomyias viridiceps, Trogon melanurus, Trogon viridis, Turdus lawrencii, Tyranneutes stolzmanni, Tyrannopsis sulphurea, Tyrannulus elatus, Veniliornis affinis, Willisornis poecilinotus, Xiphorhynchus guttatoides, Xiphorhynchus obsoletus, Zebrilus undulatus";155;NA;0,75;0,75;13;80;3702,1
"68";"Guiana, Guiana2, Capito niger, Crax alector, Corapipo gutturalis, Cyanocorax cayanus, Deconychura longicauda, Epinecrophylla gutturalis, Euchrepomis spodioptila, Frederickena viridis, Galbula galbula, Gymnopithys rufigula, Haematoderus militaris, Hypocnemis cantator, Isleria guttata, Microcerculus bambla, Monasa atra, Ortalis motmot, Penelope marail, Perissocephalus tricolor, Phaethornis superciliosus, Lepidocolaptes albolineatus, Notharchus macrorhynchos, Pteroglossus viridis, Pyrilia caica, Pyrrhura picta, Ramphastos vitellinus, Schiffornis olivacea, Selenidera piperivora, Thamnophilus punctatus, Todirostrum pictum, Tyranneutes virescens, Veniliornis cassini, Xiphorhynchus guttatus, Xiphorhynchus pardalotus, Tunchiornis luteifrons";36;NA;0,75;0,75;5;20;244
"69";"Ceratopipra erythrocephala, Leucopternis melanops, Microbates collaris, Phaethornis bourcieri, Pionites melanocephalus, Pithys albifrons, Psophia crepitans, Thamnomanes ardesiacus";8;NA;0,75;0,75;3;6;6,7
"70";"Belem, NT0170, Crax pinima, Psophia obscura";4;NA;0,75;0,61;2;3;2
"71";"Crypturellus parvirostris, Eupsittula aurea, Tityra braziliensis";3;NA;0,75;0,71;2;2;1
"72";"Hemitriccus josephinae, Lepidothrix serena, Sirystes subcanescens";3;NA;0,75;0,71;2;2;1
"73";"Leucopternis kuhli, Myrmotherula sclateri, Picumnus aurifrons";3;NA;0,75;0,75;1;2;0
"74";"Crypturellus bartletti, Myrmelastes hyperythrus";2;NA;0,75;0,75;1;1;0
"75";"Elaenia spectabilis, Trogon curucui";2;NA;0,75;0,73;1;1;0
"76";"Herpsilochmus praedictus, Pionites xanthurus";2;NA;0,75;0,43;1;1;0
